company_name,date_certified,current_status,description,industry,industry_category,products_and_services,country,state,city,sector,size,b_corp_profile,website,assessment_year,overall_score,certification_cycle,impact_area_community,impact_area_customers,impact_area_environment,impact_area_governance,impact_area_workers,impact_area_community_na_score,impact_area_customers_na_score,impact_area_environment_na_score,impact_area_governance_na_score,impact_area_workers_na_score,ia_community_it_civic_engagement_giving,ia_community_it_designed_for_charitable_giving,ia_community_it_designed_to_give,ia_community_it_diversity_inclusion,ia_community_it_job_creation,ia_community_it_local_economic_development,ia_community_it_local_involvement,ia_community_it_microdistribution_poverty_alleviation,ia_community_it_microfranchise_poverty_alleviation,ia_community_it_national_economic_development,ia_community_it_producer_cooperative,ia_community_it_suppliers_distributors,ia_community_it_suppliers_distributors_product,ia_community_it_supply_chain_poverty_alleviation,ia_customers_it_arts_media_culture,ia_customers_it_basic_services_for_the_underserved,ia_customers_it_business_model_and_engagement,ia_customers_it_capacity_building,ia_customers_it_current_fund,ia_customers_it_economic_empowerment_for_the_underserved,ia_customers_it_education,ia_customers_it_educational_models_and_engagement,ia_customers_it_educational_outcomes,ia_customers_it_health,ia_customers_it_health_wellness_improvement,ia_customers_it_impact_improvement,ia_customers_it_improved_impact,ia_customers_it_infrastructure_market_access,ia_customers_it_infrastructure_market_access_building,ia_customers_it_investment_criteria,ia_customers_it_leadership_outreach,ia_customers_it_marketing_recruiting_and_transparency,ia_customers_it_mission_aligned_exit,ia_customers_it_mission_lock,ia_customers_it_past_performance,ia_customers_it_portfolio_management,ia_customers_it_portfolio_reporting,ia_customers_it_positive_impact,ia_customers_it_privacy_and_consumer_protection,ia_customers_it_quality_and_continuous_improvement,ia_customers_it_serving_in_need_populations,ia_customers_it_student_experience,ia_customers_it_student_outcomes,ia_customers_it_student_outcomes_special_interest_students_,ia_customers_it_support_for_underserved_purpose_driven_enterprises,ia_customers_it_targeted_for_investment,ia_environment_it_certification,ia_environment_it_community,ia_environment_it_construction_practices,ia_environment_it_designed_to_conserve_agriculture_process,ia_environment_it_designed_to_conserve_manufacturing_process,ia_environment_it_designed_to_conserve_wholesale_process,ia_environment_it_energy_water_efficiency,ia_environment_it_environment_products_services_introduction,ia_environment_it_environmental_education_information,ia_environment_it_environmentally_innovative_wholesale_process,ia_environment_it_inputs,ia_environment_it_land_office_plant,ia_environment_it_land_wildlife_conservation,ia_environment_it_material_energy_use,ia_environment_it_materials_codes,ia_environment_it_outputs,ia_environment_it_renewable_or_cleaner_burning_energy,ia_environment_it_resource_conservation,ia_environment_it_safety,ia_environment_it_toxin_reduction_remediation,ia_environment_it_training_collaboration,ia_environment_it_transportation_distribution_suppliers,ia_governance_it_corporate_accountability,ia_governance_it_ethics,ia_governance_it_governance,ia_governance_it_mission_engagement,ia_governance_it_mission_locked,ia_governance_it_transparency,ia_workers_it_benefits,ia_workers_it_compensation_wages,ia_workers_it_human_rights_labor_policy,ia_workers_it_job_flexibility_corporate_culture,ia_workers_it_management_worker_communication,ia_workers_it_occupational_health_safety,ia_workers_it_training_education,ia_workers_it_worker_benefits,ia_workers_it_worker_owned,ia_workers_it_worker_ownership,ia_workers_it_workforce_development
Ethikos 3.0,3/8/17,certified,"Ethikos 3.0 is a national and international consultancy company specialized in values-based recruitment & headhunting services, talent attraction & development, employer branding and candidates support.
 
Core values are used as part of the HR services they provide – mainly recruitment and headhunting - ensuring a good cultural fit and differentiating their customers for values, culture and human essence.
 
Ethikos is also the owner of the platform ‘Companies inside-out’, where companies can show what and who they really are to attract not only the best talent, but the best talent FOR them. Companies inside-out is also helpful for candidates, that can discover the soul of the companies before deciding where to invest their talent.
 
At Ethikos they promote the H2H concept (Human to Human) and ethics and innovation are their pillars.

Ethikos promotes a different way to manage people and work in HR, to generate a real change that humanizes the relation between people and companies. As a responsible part of society, they also seek to have a positive impact on people and planet.",HR Consulting & Recruiting,Business Products & Services,"Values-based recruitment & headhunting, employer branding and HR consultancy",Spain,Catalonia,El Masnou,Service with Minor Environmental Footprint, 1-9,bcorporation.net/directory/ethikos-30,www.ethikos.es/en/,2016,84.5,1,32.3,16.5,3.3,11.9,20.5,1.2,0,0.2,0,0.4,9.6,,,5,2.3,,14,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,5.2,,,,,,,,,,,,0,3.1,,,,0,,,,,,,0,,,1.3,7.5,3.1,11.3,3.6,,,2.3,,0,,,2.7,
MaCher USA,9/15/14,certified,"By Trade, MaCher custom designs and manufactures reusable gifts and premium packaging.
 
By talent, MaCher creates solutions that are authentic to their customers' brands; strategically helping them increase sales, launch new products, gain and retain consumer loyalty and raise their brand awareness.
 
 By heart, MaCher believes business can be a powerful force for good, working in three distinct areas: People – Impact - Earth",Other,Business Products & Services,Promotional Products and Reusable Packaging,United States,California,Venice,Wholesale/Retail, 10-49,bcorporation.net/directory/macher-usa,www.macher.com,2016,96.4,1,25.2,0,22.7,17.7,30.8,0,0,0,0,0,8.5,,,2.7,1.8,,3.3,,,,,,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,7.5,7,,,,2.7,,1.6,,,,3.7,0.6,1.5,,2.7,10,2.7,11,10.5,,2.3,2.1,1.1,1.3,,,2.2,
MaCher USA,9/15/14,certified,"By Trade, MaCher custom designs and manufactures reusable gifts and premium packaging.
 
By talent, MaCher creates solutions that are authentic to their customers' brands; strategically helping them increase sales, launch new products, gain and retain consumer loyalty and raise their brand awareness.
 
 By heart, MaCher believes business can be a powerful force for good, working in three distinct areas: People – Impact - Earth",Other,Business Products & Services,Promotional Products and Reusable Packaging,United States,California,Venice,Wholesale/Retail, 10-49,bcorporation.net/directory/macher-usa,www.macher.com,2014,84.3,2,22.7,0,19.3,16,26.2,0,0,0.3,0,1.5,5.4,,,0.6,3.6,,3.7,,,,,,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,6,,,,3,,1.8,,,,1.3,,1.5,0.6,1.8,10,1.8,,9.8,,1.6,1.8,0.8,1.6,6.9,,2.2,
Sun & Swell Foods,6/19/18,certified,Sun & Swell Foods has a mission of making healthy snacking more accessible. They believe that knowing what you are putting in your body shouldn't be a mystery and that ingredients should be easy to understand.,Food & Beverage,Consumer Products & Services,Snack food,United States,California,Santa Barbara,Manufacturing, 1-9,bcorporation.net/directory/sun-swell-foods,sunandswellfoods.com,2018,84.3,1,28.7,0,32.3,5.7,17.4,0,0,0,0,0.3,6.5,,,4.8,2.1,,4.5,,,,,,10.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,5,3.8,,,,0.8,,,,13.8,,8.7,0.8,,,0.6,2.5,1.7,1.6,6.4,,,4.9,,1,,,3,
"thedatabank, Gbc. (General Benefit Corporation)",8/26/11,certified,"thedatabank, gbc. was founded in 1998, through the vision of its two founders, Chris Hanson and Mark Paquette. thedatabank's mission is to create positive social change through technology. They do this by providing capacity building software solutions to nonprofit organizations, government entities and social enterprises engaged in making the world a better place; and by providing a workplace that respects diversity, encourages innovation, and creates sustainable employment for the community. thedatabank's web-based nonprofit software is uniquely designed to help each of its clients develop and sustain long-term relationships with their supporters. By providing custom and configured database driven software solutions, thedatabank can create an effective relationship management and communications system that meets each organization's needs.",IT Software & Services/Web Design,Business Products & Services,Technology for Non-profits,United States,Minnesota,St. Paul,Service with Minor Environmental Footprint, 10-49,bcorporation.net/directory/thedatabank-gbc-general-benefit-corporation,www.thedatabank.com,2017,129.5,1,42.3,38.2,4.9,16.1,28,1.5,0,0.6,0,0.8,4.9,,20.1,3,4.2,0,7.5,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5,,,,26.6,,,,,,,,,,,,0,3.6,,,,0.6,,,,,,,0.2,0.8,,1.8,10,3.2,6.7,7.7,,2.6,3,,2.1,,,5,
"thedatabank, Gbc. (General Benefit Corporation)",8/26/11,certified,"thedatabank, gbc. was founded in 1998, through the vision of its two founders, Chris Hanson and Mark Paquette. thedatabank's mission is to create positive social change through technology. They do this by providing capacity building software solutions to nonprofit organizations, government entities and social enterprises engaged in making the world a better place; and by providing a workplace that respects diversity, encourages innovation, and creates sustainable employment for the community. thedatabank's web-based nonprofit software is uniquely designed to help each of its clients develop and sustain long-term relationships with their supporters. By providing custom and configured database driven software solutions, thedatabank can create an effective relationship management and communications system that meets each organization's needs.",IT Software & Services/Web Design,Business Products & Services,Technology for Non-profits,United States,Minnesota,St. Paul,Service with Minor Environmental Footprint, 10-49,bcorporation.net/directory/thedatabank-gbc-general-benefit-corporation,www.thedatabank.com,2014,122.9,2,37.5,26.7,8.2,17.4,33.1,2,0,0,0,1.2,6.7,,,2.5,1.6,10.6,14,,,,,,,,,,,,,,,,,,,,26.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,6.5,,,,1.1,,,,,,,,,1,1.6,10,4.7,,9.9,,,8.4,,,8.3,,5.2,
The Alinker Inventions Ltd,5/5/17,certified,"The search to live life with these values as a foundation motivated BarbaraÕs departure from her country of origin, the Netherlands. Her journey led her to work abroad for over 15 years. It was finally in Afghanistan, building schools for girls, where she found what she had been seeking; the rich experience of purpose and meaning that comes of living integrated in a community. Barbara has become a citizen of the world. She says, ÒÉbeing responsible by taking care of ourselves and each other is something IÕm extremely passionate about. I do for others because I can. Sharing is key.Ó
 
 At The Alinker Inventions Ltd., the values of respect, dignity and freedom are embedded in their DNA, and in their flagship product the Alinker R-volution. Their goal is to create revolutionary solutions for people who want to live an active life, but who have developed or may be developing mobility challenges. Their desire is to make it as easy and fun as possible for people to stay healthy and fit, connect with each other, and engage in community life. Together, they move differently.","Sports Equipment, Toys & Accessories",Consumer Products & Services,"Alinker is a three-wheeled walking bike, we design, manufacture and distribute",Canada,British Columbia,Richmond,Wholesale/Retail, 1-9,bcorporation.net/directory/the-alinker-inventions-ltd,www.thealinker.com,2017,94.5,1,45.5,26.3,2.6,20.2,,0,0,0.3,0,,20,,,10.9,,,5.7,,,,,,8.8,,,,,,,,,,,,26.3,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1.3,1,,,,0,,,,,,0,2.3,,,6,7.5,4.2,,,,,,,,,,,
Orchestrate Technologies,1/17/17,certified,"Orchestrate Technologies strives to leverage integrated technologies to level the playing field for small to medium sized business and non-profits while enhancing the surrounding community and benefiting those who occupy it.
 
 Orchestrate Technologies was founded in 2013 to harmonize business, people, and technology in their community. Their goal is to simplify and streamline company’s functionality and maximize their return on investment, in both people and technology. They recognize that technology is driven by people and appreciate the need for uncomplicated, cost-effective solutions that allow businesses to be nimble and move their businesses forward.",IT Software & Services/Web Design,Business Products & Services,Managed Services & Cloud Solutions,United States,Ohio,Cincinnati,Service with Minor Environmental Footprint, 1-9,bcorporation.net/directory/orchestrate-technologies,www.orchestratetech.com,2016,85.4,1,38.9,2.5,5,8.2,30.8,0,0,0.5,0,0,9,,13.4,4.2,2.3,,6.2,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,,,,0.5,,,,,,,,,,,,1.3,2.1,,,,1.1,,,,,,,0,,,1.5,2.5,4.2,5.2,12.5,,,6.7,,3.6,,,2.7,
Lotus Foods,2/14/12,certified,"Since 1995, Lotus Foods has been partnering in fair trade with small family farmers around the world who are growing rice sustainably and preserving rice biodiversity. The company’s intent and vision is not only to help rice farmers earn a living wage but to bring healthier rice choices to consumers. A small company with a big mission, Lotus Foods has emerged as a leader in the specialty rice category, and made a big difference in the quality of life of its family farm suppliers. Lotus Foods organic, heirloom and more sustainably grown rices are distinguished by their terroir and treasured for their distinctive cooking qualities, taste, texture, aroma, color and nutritional value. Lotus Foods provides consumers with new choices by offering a rare collection of rice that is the high value alternative to commodity and other standard rice currently available from domestic growers and other importers.",Food & Beverage,Consumer Products & Services,Specialty Rice,United States,California,Richmond,Wholesale/Retail, 10-49,bcorporation.net/directory/lotus-foods,www.lotusfoods.com,2016,99,1,43.8,0,18.9,16.4,19.9,0,0,0,0,1.2,6.2,,,4.2,2.6,,4.7,,,,,,11,14.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,2,3.2,,,,1.5,,,,10.9,,1.3,2,,,1.6,10,2.7,1.3,9,,,6.2,,0.5,,,1.5,
Lotus Foods,2/14/12,certified,"Since 1995, Lotus Foods has been partnering in fair trade with small family farmers around the world who are growing rice sustainably and preserving rice biodiversity. The company’s intent and vision is not only to help rice farmers earn a living wage but to bring healthier rice choices to consumers. A small company with a big mission, Lotus Foods has emerged as a leader in the specialty rice category, and made a big difference in the quality of life of its family farm suppliers. Lotus Foods organic, heirloom and more sustainably grown rices are distinguished by their terroir and treasured for their distinctive cooking qualities, taste, texture, aroma, color and nutritional value. Lotus Foods provides consumers with new choices by offering a rare collection of rice that is the high value alternative to commodity and other standard rice currently available from domestic growers and other importers.",Food & Beverage,Consumer Products & Services,Specialty Rice,United States,California,Richmond,Wholesale/Retail, 10-49,bcorporation.net/directory/lotus-foods,www.lotusfoods.com,2014,95.8,2,34.9,0,31.6,8.6,20.8,0,0,0,0,0.7,4.5,,,4.9,1.6,,6.2,,,,,,8.9,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7,,,,2.2,8,,,,2.2,,,,13.3,,,,,1,1.6,2.5,3.3,,6,,,6.5,,,,,1.5,
Lotus Foods,2/14/12,certified,"Since 1995, Lotus Foods has been partnering in fair trade with small family farmers around the world who are growing rice sustainably and preserving rice biodiversity. The company’s intent and vision is not only to help rice farmers earn a living wage but to bring healthier rice choices to consumers. A small company with a big mission, Lotus Foods has emerged as a leader in the specialty rice category, and made a big difference in the quality of life of its family farm suppliers. Lotus Foods organic, heirloom and more sustainably grown rices are distinguished by their terroir and treasured for their distinctive cooking qualities, taste, texture, aroma, color and nutritional value. Lotus Foods provides consumers with new choices by offering a rare collection of rice that is the high value alternative to commodity and other standard rice currently available from domestic growers and other importers.",Food & Beverage,Consumer Products & Services,Specialty Rice,United States,California,Richmond,Wholesale/Retail, 10-49,bcorporation.net/directory/lotus-foods,www.lotusfoods.com,2012,93,3,44,0,22.2,8.4,18.2,0,0,0,0,0.2,4,,,3.9,4.9,,1.5,,,,,12.1,,17.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.1,2.5,,,,2.5,,,,5.2,,2.7,2.7,,1.1,2,,2.5,,10.1,0.5,,2.3,0.8,1.4,2.5,,,
"West Paw, Inc.",8/15/13,certified,"Since 1996, their talented group of hardworking Montanans have manufactured safe, durable and high-quality pet toys, beds and apparel in Bozeman, MT using organic, recycled and recyclable materials.",Pet Products,Consumer Products & Services,Pet Toys and Bedding,United States,Montana,Bozeman,Manufacturing, 50-249,bcorporation.net/directory/west-paw-inc,westpaw.com,2017,93,1,20.1,0,35.3,14.8,22.8,0,0,1.1,0,0,6,,,3.5,1,,5.5,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,5,6,,,,4.2,,11,,2.5,,5.4,0,1.1,,0.9,10,2.7,5.5,8.1,,2.2,2.2,1.1,1.6,,,1.6,
"West Paw, Inc.",8/15/13,certified,"Since 1996, their talented group of hardworking Montanans have manufactured safe, durable and high-quality pet toys, beds and apparel in Bozeman, MT using organic, recycled and recyclable materials.",Pet Products,Consumer Products & Services,Pet Toys and Bedding,United States,Montana,Bozeman,Manufacturing, 50-249,bcorporation.net/directory/west-paw-inc,westpaw.com,2015,97.7,2,16.4,0,50,13.6,17.6,0,0,0,0,0,5.6,,,1.7,1.5,,4.3,,,,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,8.2,4.8,,,,6.4,,5.2,,3.6,,0.6,,0.7,0.2,0.6,10,2,,4.7,,0.7,2.3,1.1,1.3,4.9,,2.1,
"West Paw, Inc.",8/15/13,certified,"Since 1996, their talented group of hardworking Montanans have manufactured safe, durable and high-quality pet toys, beds and apparel in Bozeman, MT using organic, recycled and recyclable materials.",Pet Products,Consumer Products & Services,Pet Toys and Bedding,United States,Montana,Bozeman,Manufacturing, 50-249,bcorporation.net/directory/west-paw-inc,westpaw.com,2013,94.6,3,16.6,0,45.1,11.1,21.7,0.5,0,0.9,0.7,0,5.2,,,2.5,2.5,,3.4,,,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,8.8,4.3,,,,2.8,,6,,1.5,,2.7,0.9,,,1.3,5.5,2.4,,7.2,,2,2.2,0.8,1.4,5.7,,2.1,
Cook Trading Ltd,11/18/13,certified,"At COOK they are all about Remarkable Food For Your Freezer, Made Like You Would At Home. This means at their kitchens they cook using exactly the same ingredients and techniques you would at home.
 
 The driving purpose at the heart of COOK is Nourishing Relationships. Home cooking is all about nourishment, not just for the body but for the soul, and COOK is a business built on strong, caring relationships between people. The big relationships that really matter to tem, that they are attempting to nourish are: Between Business and Society. COOK believes a business is the most potent instrument of positive change in the world today. They seek to show how business can create shared and durable prosperity for all, rather than simply maximise return for shareholders. They believe food should be cooked not processed. Cooking is the magic through which people transform raw ingredients into delicious sustenance for life. It is the vital link connecting food and farms, people and planet. So they are proud to cook in kitchens full of people and seek to create a better food system.",Food & Beverage,Consumer Products & Services,"Remarkable Food For Your Freezer, Made Like You Would At Home",United Kingdom,Kent,Sittingbourne,Manufacturing, 250-999,bcorporation.net/directory/cook-trading-ltd,www.cookfood.net,2017,87.5,1,30.4,0,13.6,15.5,28,0.5,0,0.2,0,0,6,,,2.8,4.2,,3.2,,,,,,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2,2.8,,,,1.8,,,,,,3.3,1.1,1.3,,1.3,7.5,3.8,11,8,,1.1,2,1.1,1.5,,,3.1,5
Cook Trading Ltd,11/18/13,certified,"At COOK they are all about Remarkable Food For Your Freezer, Made Like You Would At Home. This means at their kitchens they cook using exactly the same ingredients and techniques you would at home.
 
 The driving purpose at the heart of COOK is Nourishing Relationships. Home cooking is all about nourishment, not just for the body but for the soul, and COOK is a business built on strong, caring relationships between people. The big relationships that really matter to tem, that they are attempting to nourish are: Between Business and Society. COOK believes a business is the most potent instrument of positive change in the world today. They seek to show how business can create shared and durable prosperity for all, rather than simply maximise return for shareholders. They believe food should be cooked not processed. Cooking is the magic through which people transform raw ingredients into delicious sustenance for life. It is the vital link connecting food and farms, people and planet. So they are proud to cook in kitchens full of people and seek to create a better food system.",Food & Beverage,Consumer Products & Services,"Remarkable Food For Your Freezer, Made Like You Would At Home",United Kingdom,Kent,Sittingbourne,Manufacturing, 250-999,bcorporation.net/directory/cook-trading-ltd,www.cookfood.net,2015,82.9,2,28.6,0,13.4,14.4,26.6,0,0,0,0,0,5.5,,,3.1,4.2,,6.7,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,4,,,,3.7,,,,,,2.5,,1.3,1.1,1.6,7.5,2.6,,7.5,,2.3,1.8,1.1,1.3,9.9,,2.2,
Cook Trading Ltd,11/18/13,certified,"At COOK they are all about Remarkable Food For Your Freezer, Made Like You Would At Home. This means at their kitchens they cook using exactly the same ingredients and techniques you would at home.
 
 The driving purpose at the heart of COOK is Nourishing Relationships. Home cooking is all about nourishment, not just for the body but for the soul, and COOK is a business built on strong, caring relationships between people. The big relationships that really matter to tem, that they are attempting to nourish are: Between Business and Society. COOK believes a business is the most potent instrument of positive change in the world today. They seek to show how business can create shared and durable prosperity for all, rather than simply maximise return for shareholders. They believe food should be cooked not processed. Cooking is the magic through which people transform raw ingredients into delicious sustenance for life. It is the vital link connecting food and farms, people and planet. So they are proud to cook in kitchens full of people and seek to create a better food system.",Food & Beverage,Consumer Products & Services,"Remarkable Food For Your Freezer, Made Like You Would At Home",United Kingdom,Kent,Sittingbourne,Manufacturing, 250-999,bcorporation.net/directory/cook-trading-ltd,www.cookfood.net,2012,80,3,17.7,0,20.1,14.4,27.7,0.2,0,0.8,0,1,4.3,,,2.2,3.7,,3.8,,,,,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,4.1,,,,2.7,,,,,,4.9,1.5,,1,3,6.2,2.5,,6.3,,2.4,2.4,1.1,1.5,9.7,,3,
Veris Wealth Partners,9/9/11,certified,"Veris Wealth Partners is a national sustainable wealth management firm with offices in New York, San Francisco, and Portsmouth, NH dedicated to aligning familiesÕ and foundationsÕ financial objectives with their mission and values. They structure fully-diversified portfolios that aim to drive social and environmental change while bringing rigor and discipline to the investment process. They believe this approach represents todayÕs most sophisticated investment thinking.
 
Understanding the landscape of sustainable investing is a core Veris expertise. They strive to help their clients access superior investment and impact opportunities by leveraging their deep knowledge of relevant financial, environmental, social, and governance (ESG) issues.",Investment Advisor,Financial Services,Sustainable & Impact Investing,United States,New York,New York,Service with Minor Environmental Footprint, 10-49,bcorporation.net/directory/veris-wealth-partners,www.veriswp.com,2016,144.4,1,30.3,54,10.1,15.9,34.1,1.1,0,0,0,1.9,8.8,,,5.4,2.5,,9,,,,,,3.5,,,,,,,,,,,,,,,,,21,6,,,,,4.2,4,,,,,,,,,18.6,,,,,,,,,,,1.5,7.2,,,,1.3,,,,,,,0,1.6,,3.2,7.5,3.5,8.5,10.5,,2.7,2.2,,2.3,,,5.5,
Veris Wealth Partners,9/9/11,certified,"Veris Wealth Partners is a national sustainable wealth management firm with offices in New York, San Francisco, and Portsmouth, NH dedicated to aligning familiesÕ and foundationsÕ financial objectives with their mission and values. They structure fully-diversified portfolios that aim to drive social and environmental change while bringing rigor and discipline to the investment process. They believe this approach represents todayÕs most sophisticated investment thinking.
 
Understanding the landscape of sustainable investing is a core Veris expertise. They strive to help their clients access superior investment and impact opportunities by leveraging their deep knowledge of relevant financial, environmental, social, and governance (ESG) issues.",Investment Advisor,Financial Services,Sustainable & Impact Investing,United States,New York,New York,Service with Minor Environmental Footprint, 10-49,bcorporation.net/directory/veris-wealth-partners,www.veriswp.com,2014,130.6,2,34.4,35.2,11.9,18.2,30.8,1.2,0,0.8,0,1.7,8.1,,,6.1,2.4,,11,,,,,,5.5,,,,,,,,,,,,,,,,,14.5,6,,,,,2.3,,,,,,,,,,12.2,,,,,,,,,,,1.9,7.5,,,,1.5,,,,,,,,2,0.5,3.4,7.5,4.6,,9.6,,2.6,2.7,,2.2,8.4,,3.3,
Veris Wealth Partners,9/9/11,certified,"Veris Wealth Partners is a national sustainable wealth management firm with offices in New York, San Francisco, and Portsmouth, NH dedicated to aligning familiesÕ and foundationsÕ financial objectives with their mission and values. They structure fully-diversified portfolios that aim to drive social and environmental change while bringing rigor and discipline to the investment process. They believe this approach represents todayÕs most sophisticated investment thinking.
 
Understanding the landscape of sustainable investing is a core Veris expertise. They strive to help their clients access superior investment and impact opportunities by leveraging their deep knowledge of relevant financial, environmental, social, and governance (ESG) issues.",Investment Advisor,Financial Services,Sustainable & Impact Investing,United States,New York,New York,Service with Minor Environmental Footprint, 10-49,bcorporation.net/directory/veris-wealth-partners,www.veriswp.com,2012,127.8,3,21.7,46.9,12.6,14.4,32.1,0.3,0,0.4,0,0.2,4.5,,,2.8,1.8,,9,,,,,3.1,,,,,,,,,,,,,,,,,,21,6,,,,,4.7,4,,,,,,,,,11,,,,,,,,,,,1.5,8.7,,,,1.7,,,,,,,,,0.6,2.8,6.2,4.5,,11.2,,2.7,3.3,,0.8,10.3,,3.3,
"Zip Code East Bay, Inc.",3/16/18,certified,"With a focus on building community through real estate, Zip Code East Bay helps clients navigate the home buying and selling experience with innovative strategies, knowledgeable problem solving and creative energy.

We became a Certified B Corporation because we take environmental awareness and action very seriously. All Zip Code East Bay agents proudly hold the National Association of Realtor's® Green Designation, and we help homeowners and sellers take actionable steps to improve their home’s market value by choosing green alternatives.

Before getting into real estate, our founder Josh Dickinson worked for 15 years as an environmental engineer in non-profit, academia and the private sector, with a focus on water reuse and reclamation. Today, we continue to employ his environmental interests and passions in real estate.

Zip Code East Bay provides financial and logistical contributions to help make our clients' homes more energy efficient, we regularly share tips and resources on how to increase environmental sustainability, and we creatively partner with local green businesses to ensure that our footprint is light but our efforts to enact more green lifestyles are far-reaching.",Other,Building,"Home Buying, Home Selling, Investing",United States,California,Kensington,Service with Minor Environmental Footprint, 1-9,bcorporation.net/directory/zip-code-east-bay-inc,zipcodeeastbay.com,2018,88.1,1,48.9,0,11.3,7.7,20.2,0,0,1.2,0,0.4,6,,13.4,3.6,2.3,9.6,9.3,,,,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,3.2,5.7,,,,1.1,,,,,,,0,,,1.6,2.5,3.5,1.5,7.2,,,7.2,,1.1,,,2.7,
Sunshine Nut Company,9/6/16,certified,"Sunshine Nut Company was founded out of the idea that food factories in Africa could create hope, opportunity, and transformation. Sunshine Nut Co. works with local shelling houses, buying their cashews and bringing them down the road to their factory in Mozambique. It is at their factory they roast, season, and package the cashews. Their vertical integration approach has allowed them to make a difference by supporting growers and employing and training over thirty men and women at their factory, many of whom grew up as orphans.

Based in Matola, Mozambique, Sunshine Nut Company is making tangible impacts in their community and beyond. They have formed a non-profit, The Sunshine Approach Foundation, which receives 90% of Sunshine Nut Co.Õs distributed profits and donations from foundations and individual donors. The Sunshine Approach Foundation conducts projects focusing on caring for the orphan population in Mozambique and the cashew growing communities. They conduct medical outreaches, support local orphan care centers, and have formed ÔSunshine HousesÕ; A concept where they place orphaned children with widows, providing them with a house, and creating a family unit.",Food & Beverage,Consumer Products & Services,Roasted and Seasoned Cashews,United States,Pennsylvania,King of Prussia,Manufacturing, 10-49,bcorporation.net/directory/sunshine-nut-company,www.SunshineNuts.com,2016,95.6,1,56.5,0,15.3,10,13.8,0,0,0,0,0.3,10.1,29,,4,3.6,,2.5,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,6,,,,5.7,,,,,,1.3,,2.6,,2.5,2.5,2.3,,3.6,0.8,,1.1,1.5,3.3,2.5,,0.5,
Wanderwell,3/30/17,certified,"Wanderwell is a social enterprise travel insurance agency committed to providing destined travelers with a simple, clean experience to obtain comprehensive, yet cost-effective coverage to bring peace of mind to adventurers. A perfect fit for single-trip travelers, long-term trekkers, ex-pats, corporate travelers, and students abroad.
 
Wanderwell is passionate about promotion and practice of environmental conservation. They pledge to donate 10% of annual revenue to established non-profit members of 1% for the Planet, an organization focused on social impact and environmental stewardship; as well as to partner college and university foundations and non-profit organizations that promote sustainable travel.",Insurance,Financial Services,Travel Insurance Agency,United States,Oregon,Portland,Service with Minor Environmental Footprint,0,bcorporation.net/directory/wanderwell,www.gowanderwell.com,2017,112.1,1,87.8,0,5.8,18.5,,2.2,0,0.6,0,,20.1,,38.5,3.6,,,18,,,,,,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.6,,,,2.5,,,,,,,1.3,,,3.7,10,3.5,,,,,,,,,,,
